,Land,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000
109,Belize,344.9,37.78857029,2,9.9
110,Samoa,205.1,3.146105122,2.2,8.7
111,Turkmenistan,528.9,NaN,3.7,11
112,Venezuela (Bolivarian Republic of),194.2,36.68763484,1.2,6.6
113,South Africa,284,36.39917415,5.1,21.7
114,"Palestine, State of",22.2,0.49352475,NaN,NaN
115,Egypt,112.2,NaN,1.7,7.2
116,Marshall Islands,61.4,NaN,NaN,NaN
117,Viet Nam,137.4,NaN,3.4,10.8
118,Gabon,173.2,NaN,4.3,15
119,Kyrgyzstan,177.1,2.189077613,3.7,14.8
120,Morocco,232.5,1.415522885,3.6,2.5
121,Guyana,275.2,14.24890919,14.2,46.6
122,Iraq,105,10.07025321,3.4,4.7
123,El Salvador,617.4,52.01892617,4.3,24.8
124,Tajikistan,NaN,NaN,1.7,5
125,Cabo Verde,288.1,6.804422507,7.7,24.1
126,Guatemala,140.9,22.50134872,1.7,4.4
127,Nicaragua,323.5,7.185947903,5,19.2
128,Bhutan,155.6,1.193007386,8.9,13.8
129,Namibia,313.8,NaN,4.9,19.4
130,India,32.7,3.079232442,14.5,18.5
131,Honduras,216.2,38.9255911,1.7,5.3
132,Bangladesh,51.6,2.373328796,6.7,5.5
133,Kiribati,114.2,NaN,5.4,25.9
134,Sao Tome and Principe,119.9,NaN,2.1,4.2
135,Micronesia (Federated States of),123.4,NaN,6.2,16.2
136,Lao People's Democratic Republic,121.7,NaN,6.1,12.9
137,Eswatini (Kingdom of),304,11.55752804,9.6,25.4
138,Ghana,48.6,2.091241017,2.9,15.8
139,Vanuatu,69.1,NaN,2.7,8.1
140,Timor-Leste,54.8,4.095983095,3.7,9
141,Nepal,68.3,2.299783996,8,11.4
142,Kenya,101.6,4.928728024,2.1,9.7
143,Cambodia,190.8,NaN,3.2,9
144,Equatorial Guinea,42.8,NaN,10.8,31.3
145,Zambia,148.3,5.371749635,6.2,17.5
146,Myanmar,171.3,2.258451326,9.8,6.3
147,Angola,79.4,NaN,4.6,14
148,Congo,26.2,NaN,5,13.9
149,Zimbabwe,137.1,NaN,11.1,29.1
150,Solomon Islands,75,NaN,3.2,8.5
151,Syrian Arab Republic,NaN,0.879312215,1.1,3.8
152,Cameroon,129.6,1.388093415,12.5,26.9
153,Pakistan,39.4,3.88308273,3.1,3
154,Papua New Guinea,59.1,NaN,3.8,10.2
155,Comoros,27,NaN,5.4,17.6
156,Mauritania,46.1,NaN,3.6,12.1
157,Benin,69.8,1.127497407,9.6,22.6
158,Uganda,118.8,10.52446028,18.7,21.2
159,Rwanda,509.1,2.577168608,6,16.9
160,Nigeria,36.5,34.5240459,17.1,17.5
161,Côte d'Ivoire,66,NaN,13,32
162,Tanzania (United Republic of),66.8,6.48265759,5.4,14.3
163,Madagascar,94.9,NaN,3.6,10.5
164,Lesotho,101.5,43.56460456,32.6,22.7
165,Djibouti,69,NaN,5.3,11.9
166,Togo,64.8,NaN,10.9,22.7
167,Senegal,78.8,0.267518152,5.2,20.3
168,Afghanistan,82.7,6.655561152,2.1,10.6
169,Haiti,79.9,6.67974266,6.4,18.3
170,Sudan,51.5,NaN,4.6,14.5
171,Gambia,55.4,NaN,7.3,12.8
172,Ethiopia,115.9,NaN,4.7,18.7
173,Malawi,76.8,NaN,3.2,13.7
174,Congo (Democratic Republic of the),27,NaN,4.9,15
175,Guinea-Bissau,32.6,1.148704753,6.1,8.9
176,Liberia,50.3,NaN,13,13.8
177,Guinea,26.5,NaN,8.4,12.7
178,Yemen,54.2,6.772149422,6.2,13.4
179,Eritrea,NaN,NaN,6.1,22.4
180,Mozambique,63.5,NaN,4.1,14
181,Burkina Faso,41.1,1.25044052,9.1,22.4
182,Sierra Leone,59.1,1.728967838,14.2,18.2
183,Mali,30.8,NaN,4.7,13.5
184,Burundi,98.3,6.054537366,7.7,23.1
185,South Sudan,60.7,NaN,4.1,8.3
186,Chad,56.2,NaN,13.8,17.1
187,Central African Republic,17,20.12040065,6,18
188,Niger,42.6,NaN,6.7,11.5
