,Land,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI
40,Saudi Arabia,NaN,6.4,18,NaN,NaN,19.7,NaN
41,Bahrain,NaN,5.5,22.7,NaN,NaN,18.000001,NaN
42,Chile,0.709,6.3,10.386,31.144998,36.3,23.66,44.4
43,Croatia,0.783,4.3,4.67412,14.67226,22.9,8.2000002,30.4
44,Qatar,NaN,5.7,11.8,NaN,NaN,29.030001,NaN
45,Argentina,0.729,8.6,5.954049975,25.15935239,29.9,NaN,41.4
46,Brunei Darussalam,NaN,7.6,NaN,NaN,NaN,NaN,NaN
47,Montenegro,0.749,3.6,7.81501,16.92405,27.7,8.5100003,39
48,Romania,0.73,6.3,5.33215,22.70669,24.9,15.24,36
49,Palau,NaN,NaN,1.9,NaN,NaN,NaN,NaN
50,Kazakhstan,0.766,7.7,3.2,10.3,23,NaN,27.5
51,Russian Federation,0.74,7.1,4.196,18.752,29.9,20.24,37.5
52,Belarus,0.771,4.4,3.7,10.8,21.4,NaN,25.2
53,Turkey,0.683,9,16.5,24.09507,32.6,23.44,41.9
54,Uruguay,0.712,7.9,6.526061455,23.357915,29.7,14,39.7
55,Bulgaria,0.721,6.1,6.09875,21.79482,31.9,12.630001,40.4
56,Panama,0.643,12,11.37222672,36.912765,37.1,NaN,49.2
57,Bahamas,NaN,6.8,6.3,NaN,NaN,NaN,NaN
58,Barbados,0.676,8.7,5.5,33.6,NaN,NaN,NaN
59,Oman,0.706,6.7,11.9488,20.1,NaN,19.490001,NaN
60,Georgia,0.716,7.9,4.1406,22.52352,27.5,NaN,36.4
61,Costa Rica,0.661,7.1,11.58937058,33.91643,36.3,NaN,48
62,Malaysia,NaN,6.1,12.1,NaN,31.3,14.55,41
63,Kuwait,NaN,5.9,22.10817735,NaN,NaN,19.930001,NaN
64,Serbia,0.705,4.9,7.47189,23.971,25.6,12.800001,36.2
65,Mauritius,0.694,9.4,13.2,18.2,29.9,13.81,36.8
66,Seychelles,0.67,9.6,6.65648,29.3,39.9,20.370001,46.8
67,Trinidad and Tobago,NaN,14.9,NaN,NaN,NaN,NaN,NaN
68,Albania,0.708,7.2,12.3,13.17898,24.8,8.2099997,33.2
69,Cuba,NaN,5.1,7.81109,NaN,NaN,NaN,NaN
70,Iran (Islamic Republic of),0.693,9.2,5,19.7,31.3,16.26,40.8
71,Sri Lanka,0.673,7,11.99693,22.36351,32.9,NaN,39.8
72,Bosnia and Herzegovina,0.667,5.4,17,20.2,25.1,8.9500003,33
73,Grenada,NaN,11.2,NaN,NaN,NaN,NaN,NaN
74,Mexico,0.613,10.5,18.38918256,33.388511,36.4,NaN,45.4
75,Saint Kitts and Nevis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,Ukraine,0.728,7.4,3.6,8.5,22,NaN,26.1
77,Antigua and Barbuda,NaN,5.8,NaN,NaN,NaN,NaN,NaN
78,Peru,0.628,10.8,16.96786,28.57682,32.1,NaN,42.8
79,Thailand,0.646,7.9,18.3,23.8,28.1,20.23,36.4
80,Armenia,0.699,8.7,2.9,17.4,29.2,NaN,34.4
81,North Macedonia,0.681,7.9,8.36817,19.15726,23.8,7.66,34.2
82,Colombia,0.595,10.7,18.595,35.52712,39.7,20.45,50.4
83,Brazil,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9
84,China,0.639,7.9,11.7,27.4,29.3,13.92,38.5
85,Ecuador,0.616,11.5,13.89604924,29.896735,34.4,NaN,45.4
86,Saint Lucia,0.629,10.6,12.6,27.4,38.6,NaN,51.2
87,Azerbaijan,0.684,13.9,5.3,8.9,NaN,NaN,NaN
88,Dominican Republic,0.595,17,15.82688819,30.369914,35.2,NaN,43.7
89,Moldova (Republic of),0.672,9.6,7.3,14,22,9.9299997,25.7
90,Algeria,0.596,14.1,33.7,11.4,22.9,9.7,27.6
91,Lebanon,NaN,7.4,6.2,NaN,24.8,23.360001,31.8
92,Fiji,NaN,14.9,NaN,NaN,29.7,NaN,36.7
93,Dominica,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,Maldives,0.584,6,29.3,25.8459,25.2,NaN,31.3
95,Tunisia,0.596,9,30.70285,16.88955,25.6,10.74,32.8
96,Saint Vincent and the Grenadines,NaN,11.3,NaN,NaN,NaN,NaN,NaN
97,Suriname,0.535,12.8,18.36769,46.69631,NaN,NaN,NaN
98,Mongolia,0.634,13.1,11.88363,16.94628,25.7,NaN,32.7
99,Botswana,NaN,19.4,23.27683,NaN,41.5,22.6,53.3
100,Jamaica,0.612,10,5.6,32,NaN,NaN,NaN
101,Jordan,0.622,10.6,15.4,17.91185,27.5,16.1,33.7
102,Paraguay,0.557,13.8,16.71896,37.799,35.9,NaN,46.2
103,Tonga,NaN,10.4,4.5,NaN,29.7,NaN,37.6
104,Libya,NaN,9.1,NaN,NaN,NaN,13.49,NaN
105,Uzbekistan,NaN,13.9,0.7,NaN,NaN,NaN,NaN
106,Bolivia (Plurinational State of),0.546,22.5,17.56781022,31.169242,30.4,NaN,42.2
107,Indonesia,0.59,13.9,16.15374573,23.13405473,30.4,NaN,39
108,Philippines,0.587,15.3,10.1,28.1,34.8,NaN,44.4
109,Belize,0.554,11.1,15.9,37.9,NaN,NaN,NaN
110,Samoa,NaN,10,4.9,NaN,31.3,NaN,38.7
111,Turkmenistan,0.586,23.4,2.94467,26.20491,NaN,NaN,NaN
112,Venezuela (Bolivarian Republic of),0.588,17.1,8.8,25.2,NaN,NaN,NaN
113,South Africa,0.468,19.2,17.29413,56.996,50.5,19.21,63
114,"Palestine, State of",0.613,12,11.592,16.61632726,25.2,15.809999,33.7
115,Egypt,0.497,11.6,38.1,36.5,26.9,15.790001,31.5
116,Marshall Islands,NaN,NaN,4.3,NaN,NaN,NaN,NaN
117,Viet Nam,0.588,12.9,17.6,19.133,27.5,NaN,35.7
118,Gabon,0.544,22.8,23.5,21.2,27.7,10.9,38
119,Kyrgyzstan,0.63,11.3,3.36425,13.83059,23.6,NaN,27.7
120,Morocco,NaN,13,NaN,NaN,31.9,14.95,39.5
121,Guyana,0.556,19,10.7,25.1,NaN,NaN,NaN
122,Iraq,0.541,15.9,29.7,12.67895,23.7,22.02,29.5
123,El Salvador,0.529,12.5,29.0996829,21.811224,29.4,NaN,38.6
124,Tajikistan,0.584,16.7,6.03825,14.5,26.4,NaN,34
125,Cabo Verde,NaN,12.2,23.7,NaN,32.3,NaN,42.4
126,Guatemala,0.481,14.6,30.8,35.4,38.1,NaN,48.3
127,Nicaragua,0.505,13.1,25.7,30.693801,37.2,NaN,46.2
128,Bhutan,0.476,17.1,41.7,20,27.9,NaN,37.4
129,Namibia,0.418,22.1,25,53.6,47.3,21.5,59.1
130,India,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8
131,Honduras,0.472,13.3,23.34273802,37.819458,39.1,NaN,52.1
132,Bangladesh,0.478,17.3,37.31177,16.55655,26.8,NaN,32.4
133,Kiribati,0.516,24.7,9.63653,19.35687,NaN,NaN,NaN
134,Sao Tome and Principe,0.52,17,18.3,14.9,49.2,8.7899998,56.3
135,Micronesia (Federated States of),NaN,16.1,NaN,26.4,29.7,NaN,40.1
136,Lao People's Democratic Republic,0.461,22.6,31.3,20.3,29.8,NaN,36.4
137,Eswatini (Kingdom of),0.432,25.1,24.1,37.9,42.7,18.2,54.6
138,Ghana,0.44,24.2,35.10167,24.14249,32.2,15.12,43.5
139,Vanuatu,NaN,14.4,NaN,19.7,29.4,NaN,37.6
140,Timor-Leste,0.436,21.7,44.9,13.58745,24,NaN,28.7
141,Nepal,0.446,17.5,40.9,16.3,26.4,NaN,32.8
142,Kenya,0.443,22.5,22.9,33.1,31.6,15.019999,40.8
143,Cambodia,0.475,18.1,27.3,14.3,NaN,NaN,NaN
144,Equatorial Guinea,NaN,34.6,NaN,NaN,NaN,17.33,NaN
145,Zambia,0.401,26.5,20.43572,44.84022,44.4,23.08,57.1
146,Myanmar,NaN,22.8,26.9,NaN,25.5,NaN,30.7
147,Angola,0.397,32,34.3,28.9,39.6,15.180001,51.3
148,Congo,0.43,22.8,20.9,31,37.9,20.41,48.9
149,Zimbabwe,0.441,24.2,14.60503,28.76901,34.8,17.209999,44.3
150,Solomon Islands,NaN,12.1,NaN,19.4,29.2,NaN,37.1
151,Syrian Arab Republic,NaN,13,NaN,NaN,NaN,14.68,NaN
152,Cameroon,0.375,33.5,31.71699,34.98911,35,15.73,46.6
153,Pakistan,0.384,29.9,43.5,17.23416,28.9,NaN,33.5
154,Papua New Guinea,0.39,24.1,35.65204,28.89932,31,NaN,41.9
155,Comoros,0.303,28.9,47.6,56,33.7,14.06,45.3
156,Mauritania,0.371,30,40.8,24.6,24.9,10.6,32.6
157,Benin,0.343,34.9,43.7,32,37.6,17.5,47.8
158,Uganda,0.399,27.2,27.9,24.94038796,34.2,16.850001,42.8
159,Rwanda,0.387,19.5,29.3,36.4,35.6,NaN,43.7
160,Nigeria,0.348,37.1,40.41507,28.05169,32.7,15.260001,43
161,Côte d'Ivoire,0.346,33.3,45.60904,27.04145,31.9,17.08,41.5
162,Tanzania (United Republic of),0.397,25.3,27,22.4,33.1,16.17,40.5
163,Madagascar,0.39,21.1,29.34582,27.557,33.5,15.019999,42.6
164,Lesotho,0.382,33.1,19.55712,29.57664,32.9,18.95,44.9
165,Djibouti,NaN,23.4,NaN,27.7,32.3,15.74,41.6
166,Togo,0.351,30.5,37.72766,26.85326,31.6,13.74,43.1
167,Senegal,0.348,21.2,46.36412,25.89114,31,13.04,40.3
168,Afghanistan,NaN,28.3,45.4,NaN,NaN,NaN,NaN
169,Haiti,0.303,32.2,37.3,50.43867,31.2,NaN,41.1
170,Sudan,0.333,27.4,42.5,33,27.8,11.16,34.2
171,Gambia,0.335,28.5,47.65805,17.46726,28.7,13.420001,35.9
172,Ethiopia,0.348,24.9,43.5,13.3515,28.5,14.26,35
173,Malawi,0.345,25.1,28.4,32.4,38.1,31.07,44.7
174,Congo (Democratic Republic of the),0.335,36.1,26.76947,27.63249,32,18.13,42.1
175,Guinea-Bissau,0.3,32.3,41.9,37.9,42,19.320001,50.7
176,Liberia,0.325,29.8,42.9,22.7,27.1,12.03,35.3
177,Guinea,0.313,31.3,50.12411,17.83777,26.4,12.35,33.7
178,Yemen,0.321,24.7,46.1,21.8,29.4,15.700001,36.7
179,Eritrea,NaN,21.4,NaN,NaN,NaN,14.26,NaN
180,Mozambique,0.316,29.8,33.8,28.4,45.5,30.919999,54
181,Burkina Faso,0.316,32,39.2,17.3,29.6,14.300001,35.3
182,Sierra Leone,0.291,39,46.9,17.73822,29.4,10.51,35.7
183,Mali,0.289,36.7,43.85965,16.56372,25.7,9.5299996,33
184,Burundi,0.303,28.5,39.5,20.9,31,14.55,38.6
185,South Sudan,0.276,36.2,39.6,32.3,33.2,14.129999,46.3
186,Chad,0.248,40.9,43,28.4,32.4,15.59,43.3
187,Central African Republic,0.232,40.1,34.5,49.2,46.2,30.860001,56.2
188,Niger,0.284,30.9,35,16.4,27,11.41,34.3
